****
Current Price: 29.35 * Open Price: 29.26 *Day High:  29.72, * Day Low: 28.80 * Day Average: 29.26
****
Current Price: 33.73 * Open Price: 33.56 *Day High:  34.03, * Day Low: 33.36 * Day Average: 33.695
****
Current Price: 33.84 * Open Price: 33.56 *Day High:  34.03, * Day Low: 33.36 * Day Average: 33.695
****
Current Price: 32.95 * Open Price: 32.76 *Day High:  32.97, * Day Low: 32.59 * Day Average: 32.78
****
Current Price: 32.93 * Open Price: 32.76 * Day High:  32.99, * Day Low: 32.59 * Day Average: 32.79
Current Price: 32.87 * Open Price: 32.76 * Day High:  32.99, * Day Low: 32.59 * Day Average: 32.79
'Current Price: 33.07 * Open Price: 32.76 * Day High:  33.07, * Day Low: 32.59 * Day Average: 32.83
'Current Price: 33.06 * Open Price: 32.76 * Day High:  33.08, * Day Low: 32.59 * Day Average: 32.835
'Current Price: 33.63 * Open Price: 33.34 * Day High:  33.76, * Day Low: 33.27 * Day Average: 33.515
'Current Price: 34.47 * Open Price: 33.34 * Day High:  34.55, * Day Low: 33.27 * Day Average: 33.91
'Current Price: 34.47 * Open Price: 33.34 * Day High:  34.55, * Day Low: 33.27 * Day Average: 33.91
'Current Price: 34.49 * Open Price: 33.34 * Day High:  34.55, * Day Low: 33.27 * Day Average: 33.91 * ['Last Updated: Jul 15, 2019 7:25 p.m. EDT']
'Current Price: 34.02 * Open Price: 34.23 * Day High:  34.77, * Day Low: 33.87 * Day Average: 34.32 * ['Last Updated: Jul 26, 2019 7:59 p.m. EDT']
'Current Price: 34.02 * Open Price: 34.23 * Day High:  34.77, * Day Low: 33.87 * Day Average: 34.32 * ['Last Updated: Jul 26, 2019 7:59 p.m. EDT']
'Current Price: 34.02 * Open Price: 34.23 * Day High:  34.77, * Day Low: 33.87 * Day Average: 34.32 * ['Last Updated: Jul 26, 2019 7:59 p.m. EDT']
'Current Price: 30.36 * Open Price: 28.47 * Day High:  29.28, * Day Low: 28.37 * Day Average: 28.825 * ['Last Updated: Aug 7, 2019 7:59 p.m. EDT']
'Current Price: 29.95 * Open Price: 31.00 * Day High:  31.05, * Day Low: 29.51 * Day Average: 30.28 * ['Last Updated: Aug 14, 2019 7:44 p.m. EDT']
'Current Price: 31.38 * Open Price: 31.60 * Day High:  31.87, * Day Low: 31.13 * Day Average: 31.5 * ['Last Updated: Aug 30, 2019 7:59 p.m. EDT']
'Current Price: 31.38 * Open Price: 31.60 * Day High:  31.87, * Day Low: 31.13 * Day Average: 31.5 * ['Last Updated: Aug 30, 2019 7:59 p.m. EDT']
'Current Price: 31.38 * Open Price: 31.60 * Day High:  31.87, * Day Low: 31.13 * Day Average: 31.5 * ['Last Updated: Aug 30, 2019 7:59 p.m. EDT']
'Current Price: 31.38 * Open Price: 31.60 * Day High:  31.87, * Day Low: 31.13 * Day Average: 31.5 * ['Last Updated: Aug 30, 2019 7:59 p.m. EDT']
'Current Price: 30.47 * Open Price: 30.75 * Day High:  30.89, * Day Low: 29.88 * Day Average: 30.385 * ['Last Updated: Sep 18, 2019 7:59 p.m. EDT']
'
