Ford Motor Company,$9.38
Gerdau S.A.,$4.0050
Snap Inc.,$12.06
Wells Fargo & Company,$47.68
Infosys Limited,$11.03
Bank of America Corporation,$29.15
QIAGEN N.V.,$41.23
Southwestern Energy Company,$4.4750
ARRIS International Limited,$31.66
Micron Technology, Inc.,$42.60
Tesla, Inc.,$267.88
Bed Bath & Beyond Inc.,$17.92
Nokia Corporation,$5.88
Lyft, Inc.,$61.55
NIO Inc.,$5.01
United States Steel Corporation,$16.80
Ambev S.A.,$4.4893
Transocean Ltd.,$8.88
Bristol-Myers Squibb Company,$45.84
eBay Inc.,$36.33
Caesars Entertainment Corporation,$9.27
Petróleo Brasileiro S.A. - Petrobras,$16.54
Apple Inc.,$200.38
Aurora Cannabis Inc.,$8.90
JD.com, Inc.,$30.03
AT&T Inc.,$32.22
Encana Corporation,$7.18
General Electric Company,$9.23
Advanced Micro Devices, Inc.,$27.99
Sirius XM Holdings Inc.,$6.01
Chesapeake Energy Corporation,$3.3300
Ford Motor Company,$9.37
Gerdau S.A.,$3.9850
Cisco Systems, Inc.,$55.59
Southwestern Energy Company,$4.4800
Wells Fargo & Company,$47.62
Infosys Limited,$11.02
Bank of America Corporation,$29.11
QIAGEN N.V.,$41.22
Snap Inc.,$12.12
ARRIS International Limited,$31.66
Micron Technology, Inc.,$42.59
Tesla, Inc.,$268.41
Bed Bath & Beyond Inc.,$17.92
Nokia Corporation,$5.87
Lyft, Inc.,$61.71
NIO Inc.,$5.0000
United States Steel Corporation,$16.72
Ambev S.A.,$4.4632
Transocean Ltd.,$8.89
Bristol-Myers Squibb Company,$45.83
eBay Inc.,$36.37
Roku, Inc.,$58.59
Caesars Entertainment Corporation,$9.40
Petróleo Brasileiro S.A. - Petrobras,$16.49
Apple Inc.,$200.19
Aurora Cannabis Inc.,$8.90
JD.com, Inc.,$30.00
AT&T Inc.,$32.23
Microsoft Corporation,$120.28
Telefonaktiebolaget LM Ericsson (publ),$9.81
Encana Corporation,$7.16
General Electric Company,$9.22
Advanced Micro Devices, Inc.,$27.97
Sirius XM Holdings Inc.,$6.01
Chesapeake Energy Corporation,$3.3300
